Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,LWID,Comments
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-HOM,6,02/05/2025,110,1,0.025,9,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-HOM,7,02/05/2025,111,1,0.036,13,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-HOM,8,02/05/2025,112,1,0.048,17,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-HOM,9,02/05/2025,113,1,0.021,7,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-HOM,10,02/05/2025,114,1,0.063,22,,,,,,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-CHA,1,02/05/2025,115,1,0.044,16,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-CHA,2,02/05/2025,116,1,0.046,16,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-CHA,3,02/05/2025,117,1,0.039,14,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-CHA,4,02/05/2025,118,1,0.034,12,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-CHA,5,02/05/2025,119,1,0.027,10,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-CHA,6,02/05/2025,120,1,0.031,11,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-CHA,7,02/05/2025,121,1,0.025,9,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-CHA,8,02/05/2025,122,1,0.026,9,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-CHA,9,02/05/2025,123,1,0.02,7,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-CHA,10,02/05/2025,124,1,0.021,7,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-WEE,B,02/17/2025,125,1,0.012,4,,,TI,,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-WEE,1,02/17/2025,126,1,0.025,9,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-WEE,MS2,02/17/2025,127,1,0.16,57,,,,,,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-WEE,DUP2,02/17/2025,128,1,0.151,54,,,,,,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,LFB2,,129,1,0.139,50,,,Q,Q,,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,CCV2,,130,1,0.13,47,,,Q,Q,,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,MLBK3,,131,1,0.011,4,,,QTI,Q,TI,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-WEE,2,02/17/2025,132,1,0.033,12,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-WEE,3,02/17/2025,133,1,0.024,8,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-WEE,4,02/17/2025,134,1,0.022,8,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-WEE,5,02/17/2025,135,1,0.027,10,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-WEE,6,02/17/2025,136,1,0.024,8,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-WEE,7,02/17/2025,137,1,0.039,14,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-WEE,8,02/17/2025,138,1,0.023,8,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-WEE,9,02/17/2025,139,1,0.023,8,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Hernando,HER-WEE,10,02/17/2025,140,1,0.015,5,,,TI,,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Pasco,PAS-ARI,1,02/11/2025,141,1,0.032,11,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Pasco,PAS-ARI,2,02/11/2025,142,1,0.02,7,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Pasco,PAS-ARI,3,02/11/2025,143,1,0.03,11,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Pasco,PAS-ARI,4,02/11/2025,144,1,0.028,10,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Pasco,PAS-ARI,5,02/11/2025,145,1,0.019,7,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Pasco,PAS-ARI,6,02/11/2025,146,1,0.017,6,,,TI,,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Pasco,PAS-ARI,7,02/11/2025,147,1,0.02,7,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Pasco,PAS-ARI,8,02/11/2025,148,1,0.02,7,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Pasco,PAS-ARI,9,02/11/2025,149,1,0.025,9,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Pasco,PAS-ARI,10,02/11/2025,150,1,0.021,7,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Pasco,PAS-ARI,MS3,02/11/2025,151,1,0.149,53,,,,,,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Pasco,PAS-ARI,DUP3,02/11/2025,152,1,0.142,51,,,,,,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,LFB3,,153,1,0.136,49,,,Q,Q,,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,CCV3,,154,1,0.134,48,,,Q,Q,,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,MLBK4,,,,,0,,,QTI,Q,TI,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,155,1,0.129,46,,,Q,Q,,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,156,1,0.13,47,,,Q,Q,,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Dr. Ruth Francis-Floyd,Red water sample,1,,79,100,2.668,96048,,,Q,Q,,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Dr. Ruth Francis-Floyd,Red water sample,2,,80,10,6.62,23835,,,Q,Q,,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,81,1,0.015,5,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,82,1,0.011,4,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,MS4,,,,,0,,,QTI,Q,TI,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,DUP4,,,,,0,,,QTI,Q,TI,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,LFB4,,,,,0,,J,QTI,Q,TI,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,CCV4,,,,,0,,J,QTI,Q,TI,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,MLBK5,,,,,0,,,QTI,Q,TI,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,,,,,,0,,,QTI,Q,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,MS5,,,,,0,MS5,,QTI,Q,TI,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,DUP5,,,,,0,DUP5,,QTI,Q,TI,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,LFB5,,,,,0,LFB5,J,QTI,Q,TI,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,CCV5,,,,,0,CCV5,J,QTI,Q,TI,QAQC,TP03042025B03062025,,
